proyecto,folioviv,foliohog,numren,numtrab,tipoact,cose_cria,prep_deriv,valproc,valrema,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,procampo,mesproc,progan,mesprogan,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,com_fis,reg_cont,reg_not,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
1,011163,0,01,Trabajo principal,Actividades agrícolas,Sí,,11500,8000,No,,,,,2900,Mayo,,,0,,,,,,,,,,,,Ninguno,No,No,1,0,0,13300,.25,0,0,3314.09,0,3313.84
1,011166,0,01,Trabajo principal,Actividades agrícolas,Sí,,25000,5000,No,,,,,4950,Mayo,,,3,3,0,1,1,0,2,2,0,0,,,Ninguno,No,No,0,0,0,14400,0,0,0,3588.19,0,3588.19
1,012098,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,34000,34000,No,,,,,0,,0,,1,1,0,1,1,0,0,,,0,,,Ninguno,No,No,1230,1800,0,39400,310.02,453.69,0,9930.77,0,9167.06
1,012125,0,01,Trabajo principal,Actividades agrícolas,Sí,,2000,0,No,,,,,3040,Abril,,,1,1,0,1,1,0,0,,,0,,,Ninguno,No,No,0,0,0,6976,0,0,0,1758.3,0,1758.3
1,012125,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,16000,13000,No,,,,,0,,0,,1,1,0,1,1,0,0,,,0,,,Ninguno,No,No,55724,12502,0,2360,14045.23,3151.13,0,594.84,16601.53,0
1,012128,0,01,Trabajo principal,Actividades agrícolas,Sí,,1500,0,No,,,,,0,,,,2,2,0,0,,,2,2,0,0,,,Ninguno,No,No,0,0,0,11420,0,0,0,2878.41,0,2878.41
1,012134,0,01,Trabajo principal,Actividades agrícolas,Sí,,3200,0,No,,,,,0,,,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,0,0,0,780,0,0,0,196.6,0,196.6
1,012134,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,1200,0,No,,,,,0,,0,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,4704,2015,0,0,1185.64,507.88,0,0,1693.52,0
1,012153,0,01,Trabajo principal,Actividades agrícolas,Sí,,15000,0,No,,,,,1700,Abril,,,0,,,,,,,,,,,,Ninguno,No,No,0,5750,0,4000,0,1449.29,0,1008.2,441.09,0
1,012156,0,01,Trabajo principal,Actividades agrícolas,Sí,,15000,15000,No,,,,,3000,Abril,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,5700,0,0,0,1436.69,0,1436.69
1,012175,0,01,Trabajo principal,Actividades agrícolas,Sí,,20000,0,No,,,,,0,,,,2,2,0,2,2,0,0,,,0,,,Ninguno,No,No,0,0,0,14220,0,0,0,3584.15,0,3584.15
1,012175,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,40000,40000,No,,,,,3200,Mayo,0,,2,2,0,2,2,0,0,,,0,,,Ninguno,No,No,0,5880,26000,18500,0,1482.05,6553.3,4662.93,3372.43,0
1,013006,0,01,Trabajo principal,Actividades agrícolas,Sí,,20000,0,No,,,,,0,,,,1,1,0,0,,,0,,,1,1,0,Ninguno,No,No,0,0,0,8000,0,0,0,2016.4,0,2016.4
1,013137,0,01,Trabajo principal,Actividades agrícolas,Sí,,16200,,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,32000,0,0,0,8065.6,0,8065.6
1,013154,0,01,Trabajo principal,Actividades agrícolas,Sí,,30000,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,12320,0,0,0,3105.26,0,3105.26
1,014126,0,01,Trabajo principal,Actividades agrícolas,Sí,,50000,50000,No,,,,,7200,Abril,,,2,2,0,0,,,1,1,0,1,1,0,Ninguno,No,No,10000,5000,7500,37700,2520.5,1260.25,1890.38,9502.290000000001,0,3831.16
1,014149,0,01,Trabajo principal,Actividades agrícolas,Sí,,55000,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,6000,120,0,15300,1512.3,30.25,0,3856.37,0,2313.82
1,014149,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,32000,0,0,17300,8065.6,0,0,4360.47,3705.14,0
1,014161,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,40000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,26100,0,0,0,6578.51,0,6578.51
1,014176,0,01,Trabajo principal,Actividades agrícolas,Sí,,120000,0,No,,,,,2700,Mayo,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,79850,0,0,0,20126.19,0,20126.19
1,015151,0,01,Trabajo principal,Actividades agrícolas,Sí,,15000,0,No,,,,,3700,Mayo,,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,0,600,0,27100,0,150.41,0,6793.43,0,6643.02
1,015151,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,12000,12750,No,,,,,4000,Mayo,0,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,111280,2920,0,15004,27895.67,731.99,0,3761.2,24866.45,0
1,015153,0,01,Trabajo principal,Actividades agrícolas,Sí,,15000,20000,No,,,,,4000,Noviembre,,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,0,0,0,7500,0,0,0,1880.1,0,1880.1
1,015153,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,75000,12000,No,,,,,0,,0,,2,2,0,1,1,0,1,1,0,0,,,Ninguno,No,No,37800,21600,0,37800,9475.700000000001,5414.69,0,9475.700000000001,5414.69,0
1,015155,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,6,6,0,5,5,0,1,1,0,0,,,Ninguno,No,No,41000,10300,6100,37500,10277.88,2582,1529.15,9400.5,4988.53,0
1,015160,0,01,Trabajo principal,Actividades agrícolas,Sí,,15000,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,350,0,1300,0,87.74,0,325.88,0,238.15
1,015160,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,18000,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,17280,0,0,5100,4331.75,0,0,1278.47,3053.28,0
