"ANIO_REG","TRIMESTRE","FOLIO","TIPO_VIV","MAT_PARED","MAT_TECHOS","MAT_PISOS","ANTIGUEDAD","COCINA","COCINA_DOR","CUART_DORM","NUM_CUARTO","DISP_AGUA","DOTAC_AGUA","EXCUSADO","USO_COMPAR","SANIT_AGUA","DRENAJE","DISP_ELECT","POTENCIA","FOCOS_AHOR","FOCOS_INCA","COMBUSTIBL","ESTUFA_CHI","ELI_BASURA","LAVADERO","FREGADERO","REGADERA","TINACO_AZO","CISTERNA","PILETA","CALENTADOR","MEDIDOR_LU","BOMBA_AGUA","TANQUE_GAS","AIRE_ACOND","CALEFACC","CHIMENEA","REPAR_PARD","REPAR_TECH","REPAR_AGUA","REPAR_DREN","REPAR_CABL","CONST_DORM","CONST_COCI","CONST_BANO","TENENCIA","ESTIM_COBR","ESTIM_PAGO","PAGO_VIV","TIPO_ADQUI","VIV_USADA","TIPO_FINAN","NUM_DUENO1","HOG_DUENO1","NUM_DUENO2","HOG_DUENO2","ESCRITURAS","TOT_RESID","TOT_HOG","HOG_PRINC","UBICA_GEO","AGEB","CD_INPC","TAM_LOC","EST_SOCIO","EST_DIS","UPM","FACTOR"
"2012","1","011201001","3","7","9","2",0,"2",,1,1,"4",,"1","1","2","1","1",0,0,1,"6",,"3","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2",800,800,0,,,,,,,,,1,1,"1","010010001","057-2","114","1","3","0111","00150",1555
"2012","1","011201002","1","8","9","3",40,"1","2",2,4,"1","1","1","2","1","1","1",0,0,6,"3",,"3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2",1700,1700,0,,,,,,,,,2,1,"1","010010001","057-2","114","1","3","0111","00150",3111
"2012","1","011201003","1","8","9","2",0,"1","2",2,5,"1","1","1","2","1","1","1",0,6,0,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","1","1","1","2","1","2","2","2","1",0,0,0,,,,,,,,,3,1,"1","010010001","057-2","114","1","3","0111","00150",3111
"2012","1","011201004","1","7","9","3",99,"1","2",4,8,"1","1","1","2","1","1","1",0,10,0,"3",,"3","1","1","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","2","2","2","1","2",3000,3000,0,,,,,,,,,5,1,"1","010010001","057-2","114","1","3","0111","00150",7375
"2012","1","011201005","1","8","9","3",45,"1","2",2,4,"1","1","1","2","1","1","1",0,7,3,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2",5000,5000,0,,,,,,,,,3,1,"1","010010001","057-2","114","1","3","0111","00150",4666
"2012","1","011201010","2","8","9","3",20,"1","2",2,4,"1","1","1","2","1","1","1",0,4,0,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","2","2","1","2","2","2","1",0,0,0,,,,,,,,,1,1,"1","010010001","057-2","114","1","3","0111","00150",1433
"2012","1","011201011","1","8","9","3",15,"1","2",3,5,"1","1","1","2","1","1","1",0,7,0,"3",,"3","1","1","1","1","2","1","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","4",2000,2000,0,"3",,"5","01","1",,,"1",4,1,"1","010010001","057-2","114","1","3","0111","00150",5265
"2012","1","011201014","1","8","9","3",0,"1","2",1,3,"1","1","1","2","1","1","1",0,2,6,"3",,"3","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",2500,2500,0,"4",,"&","01","1",,,"1",2,1,"1","010010001","057-2","114","1","3","0111","00150",2950
"2012","1","011201015","1","7","9","3",0,"1","2",2,6,"1","1","1","2","1","1","1",0,6,1,"3",,"3","2","2","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","2","2","2","2","2",2000,2000,0,,,,,,,,,4,1,"1","010010001","057-2","114","1","3","0111","00150",3111
"2012","1","011201016","1","8","9","3",0,"1","2",2,5,"1","1","1","2","1","1","1",0,11,4,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,4,1,"1","010010001","065-7","114","1","3","0111","00270",4317
"2012","1","011201018","1","8","9","2",20,"1","2",2,3,"1","1","1","2","1","1","1",0,4,3,"3",,"3","1","1","1","1","1","2","1","1","1","1","2","2","2","1","2","2","2","2","1","1","1","4",1000,1000,0,"2",,"1","02","1",,,"1",3,1,"1","010010001","065-7","114","1","3","0111","00270",4094
"2012","1","011201020","1","8","9","3",20,"1","2",1,9,"1","1","1","2","1","1","1",0,9,11,"3",,"3","1","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","5",5000,5000,0,,,,,,,,,1,1,"1","010010001","065-7","114","1","3","0111","00270",2159
"2012","1","011201021","1","8","9","2",60,"1","2",3,9,"1","1","1","2","1","1","1",0,2,8,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","1","1","2","1","1","2","2","1","2",2500,2500,0,,,,,,,,,4,1,"1","010010001","065-7","114","1","3","0111","00270",5480
"2012","1","011201022","1","8","9","3",40,"1","2",1,4,"1","1","1","2","1","1","1",0,7,1,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","5",1500,1500,0,,,,,,,,,1,1,"1","010010001","065-7","114","1","3","0111","00270",1990
"2012","1","011201024","1","8","9","3",46,"1","2",1,4,"1","1","1","2","1","1","1",0,0,20,"3",,"3","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",5000,5000,0,"1","1","5","01","1",,,"4",1,1,"1","010010001","065-7","114","1","3","0111","00270",1827
"2012","1","011201025","1","8","9","2",0,"1","2",3,5,"1","1","1","2","1","1","1",0,0,9,"3",,"3","1","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,5,1,"1","010010001","065-7","114","1","3","0111","00270",8189
"2012","1","011201027","1","8","9","3",0,"1","2",3,6,"1","1","1","2","1","1","1",0,0,10,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","1",0,0,0,,,,,,,,,5,1,"1","010010001","065-7","114","1","3","0111","00270",3617
"2012","1","011201028","1","8","9","3",30,"1","2",3,9,"1","1","1","2","1","1","1",0,0,17,"3",,"3","1","1","1","1","1","2","1","1","1","2","2","2","2","1","1","1","2","2","2","2","1","1",0,0,0,,,,,,,,,5,1,"1","010010001","065-7","114","1","3","0111","00270",3653
