proyecto,folioviv,foliohog,numren,fecha_nac,selecc
1,0100014201,1,01,09100000,1
1,0100014201,1,02,18090000,2
1,0100014201,1,03,25120000,2
1,0100014202,1,04,08080000,2
1,0100014202,1,03,26050000,2
1,0100014202,1,01,07020000,1
1,0100014202,1,02,12060000,2
1,0100014203,1,01,21120000,1
1,0100014204,1,01,21110000,1
1,0100014204,1,02,21020000,2
1,0100014205,1,03,24040000,2
1,0100014205,1,04,04100000,1
1,0100014205,1,01,31070000,2
1,0100014205,1,02,24080000,2
1,0100022701,1,01,09100000,2
1,0100022701,1,02,27020000,1
1,0100022702,1,01,04020000,1
1,0100022702,1,02,30080000,2
1,0100022702,1,03,22080000,2
1,0100022703,1,04,21110000,2
1,0100022703,1,01,28040000,2
1,0100022703,1,02,25050000,2
1,0100022703,1,03,26020000,2
1,0100022703,1,06,09110000,1
1,0100022703,1,05,11110000,2
1,0100022704,1,01,18060000,2
1,0100022704,1,02,23020000,1
1,0100022704,1,03,29080000,2
1,0100022705,1,01,20080000,2
1,0100022705,1,02,17100000,1
1,0100025701,1,01,28050000,1
1,0100025703,1,01,31070000,2
1,0100025703,1,02,07120000,1
1,0100025704,1,01,29080000,2
1,0100025704,1,03,09010000,1
1,0100025704,1,02,22040000,2
1,0100025705,1,01,13010000,2
1,0100025705,1,02,27100000,1
1,0100040701,1,02,05100000,2
1,0100040701,1,01,19030000,1
1,0100040703,1,01,24120000,1
1,0100040703,1,02,23050000,2
1,0100040704,1,02,30090000,2
1,0100040704,1,01,31010000,1
1,0100040705,1,03,14020000,1
1,0100040705,1,02,21040000,2
1,0100040705,1,01,07050000,2
1,0100052402,1,02,03120000,1
1,0100052402,1,01,12120000,2
1,0100052403,1,01,14080000,1
1,0100052404,1,04,10020000,1
1,0100052404,1,03,28080000,2
1,0100052404,1,02,18020000,2
1,0100052404,1,01,07050000,2
1,0100052405,1,03,04090000,2
1,0100052405,1,01,26100000,1
1,0100052405,1,02,22020000,2
1,0100090402,1,01,22070000,1
1,0100090403,1,02,02050000,2
1,0100090403,1,03,15050000,2
