geo_mun_s,cohort,eng_exp,hrs_exp
01001,1997,.87199557,2.310539
01001,1998,.87516725,2.1132357
01001,1999,.87881261,2.2002056
01001,2000,.8819254,2.2440457
01001,2001,.86536241,2.2542322
01001,2002,.86481488,2.267381
01002,1997,.099544242,.16824713
01002,1998,.12708683,.18770345
01002,1999,.14868492,.22930165
01002,2000,.16947778,.28537062
01002,2001,.20780601,.34756634
01002,2002,.25644329,.46654782
01003,1997,.36394671,.58555043
01003,1998,.38967791,.55264056
01003,1999,.4142808,.67630649
01003,2000,.46658221,.83904028
01003,2001,.49161661,.96157783
01003,2002,.52050877,1.059622
01004,1997,.31713742,.70392501
01004,1998,.31878674,.63354826
01004,1999,.32383913,.61525154
01004,2000,.33737281,.60094422
01004,2001,.38316345,.60474753
01004,2002,.43854904,.7974841
01005,1997,.50032985,1.107698
01005,1998,.49974871,.99173778
01005,1999,.50820321,1.069718
01005,2000,.55791414,1.1756377
01005,2001,.59254497,1.2596557
01005,2002,.63190144,1.398477
01006,1997,.635562,1.232554
01006,1998,.65609032,1.1583004
01006,1999,.6712364,1.2546184
01006,2000,.69712204,1.3382092
01006,2001,.72866875,1.466532
01006,2002,.75112343,1.5251732
01007,1997,.49345198,.96628529
01007,1998,.49904984,.87660551
01007,1999,.51469618,1.0118033
01007,2000,.54855347,1.1264838
01007,2001,.59310722,1.2375578
01007,2002,.62216133,1.390354
01008,1997,.58629221,1.7437445
01008,1998,.58824968,1.5306042
01008,1999,.59198886,1.4667565
01008,2000,.59532022,1.5282855
01008,2001,.6005975,1.5064641
01008,2002,.62362289,1.5153551
01009,1997,.21413021,.5476343
01009,1998,.25728893,.53673828
01009,1999,.28103065,.63367832
01009,2000,.30983365,.74224067
01009,2001,.31193665,.7685219
01009,2002,.34148258,.84605682
01010,1997,.19884901,.46321428
01010,1998,.19761583,.42012933
01010,1999,.20315832,.34958103
01010,2000,.20772132,.3959167
01010,2001,.20768803,.3058235
01010,2002,.21966818,.24969555
01011,1997,.55793095,1.2131175
01011,1998,.52324837,1.0509201
01011,1999,.53868616,1.1003858
01011,2000,.56908,1.1624651
01011,2001,.58477604,1.2083391
01011,2002,.59374833,1.2698334
02001,1997,.13114758,.33327878
02001,1998,.13316916,.3361266
02001,1999,.131394,.32428345
02001,2000,.13202521,.33248743
02001,2001,.13324985,.33661792
02001,2002,.12027328,.30545717
02002,1997,.12127884,.40417072
02002,1998,.1199125,.41948453
02002,1999,.11857874,.4179008
02002,2000,.11039431,.38811666
02002,2001,.10904049,.43220311
02002,2002,.098549157,.39673579
02003,1997,.11915824,.30102047
02003,1998,.12211513,.3276017
02003,1999,.12740281,.32517269
02003,2000,.12813999,.33306649
02003,2001,.13749586,.32830229
02003,2002,.12618881,.2911768
02004,1997,.10646369,.29678801
02004,1998,.10661844,.31052238
02004,1999,.10636272,.33464327
02004,2000,.11141499,.32734227
02004,2001,.11775034,.3387118
02004,2002,.11300556,.33243644
02005,1997,.12861973,.2659421
02005,1998,.11862078,.28198525
02005,1999,.11477957,.29462668
02005,2000,.13252392,.36588341
02005,2001,.14085123,.41431698
02005,2002,.12850551,.44299936
03001,1997,.014809192,.014809192
03001,1998,.015108997,.015108997
03001,1999,.015439544,.015439544
03001,2000,.015350662,.015350662
03001,2001,.023867991,.039625168
03001,2002,.042962123,.09675312
03002,1997,.037592798,.11168859
03002,1998,.033155642,.099476427
03002,1999,.03038118,.091151141
03002,2000,.028400874,.085208952
03002,2001,.031890448,.095057324
03002,2002,.02553403,.068371698
03003,1997,.075451389,.26090497
03003,1998,.074770018,.26260418
03003,1999,.16426435,.47919828
03003,2000,.22951457,.65589845
03003,2001,.31372344,.86279494
03003,2002,.40992537,1.1102803
03008,1997,.18418606,.51240194
03008,1998,.18083873,.51556563
03008,1999,.1991577,.62406594
03008,2000,.20744087,.6672411
03008,2001,.23312928,.75650007
03008,2002,.24602437,.81853086
03009,1997,.2028764,.47680241
03009,1998,.18208332,.41745386
03009,1999,.16572237,.37407452
03009,2000,.15461084,.34474647
03009,2001,.14783768,.33120018
03009,2002,.23186307,.62938356
04001,1997,0,0
04001,1998,0,0
04001,1999,.015544358,.017834784
04001,2000,.042354923,.066507839
04001,2001,.046404436,.067182757
04001,2002,.054437492,.08263094
04002,1997,.078083947,.2068198
04002,1998,.078703299,.23472217
04002,1999,.10325289,.28103045
04002,2000,.13178802,.33680311
04002,2001,.17439136,.40020928
04002,2002,.2110638,.45147267
04003,1997,.10691846,.36711979
04003,1998,.11190765,.38665426
04003,1999,.11936121,.41219527
04003,2000,.13293356,.45002615
04003,2001,.14883432,.50484926
04003,2002,.15577726,.52561992
04004,1997,.0057414332,.010269883
04004,1998,.0081493044,.013868473
04004,1999,.034373518,.041821882
04004,2000,.057563338,.097263493
04004,2001,.07896436,.13914177
04004,2002,.092676863,.17096375
04005,1997,0,0
04005,1998,0,0
04005,1999,.024729522,.024729522
04005,2000,.040624402,.087329492
04005,2001,.059886612,.15153685
04005,2002,.078180499,.15458584
04006,1997,0,0
04006,1998,0,0
04006,1999,0,0
04006,2000,.0053589414,.013397354
04006,2001,.0053589414,.013397354
04006,2002,.016169753,.031415369
04007,1997,0,0
04007,1998,0,0
04007,1999,0,0
04007,2000,.04556248,.04556248
04007,2001,.090643242,.1176917
04007,2002,.1345485,.21348499
04008,1997,0,0
04008,1998,0,0
04008,1999,0,0
04008,2000,.043981481,.11435185
04008,2001,.085577644,.15594801
04008,2002,.085577644,.15594801
04009,1997,.013455624,.031812038
04009,1998,.013263923,.027031234
04009,1999,.037612595,.048071492
04009,2000,.06166178,.10003047
04009,2001,.092827789,.16629097
04009,2002,.11675739,.2241822
04010,1997,0,0
04010,1998,0,0
04010,1999,.0082463985,.0072155991
04010,2000,.0068719988,.006012999
04010,2001,.0068719988,.006012999
04010,2002,.0068719988,.006012999
04011,1997,.0029543601,.00098478678
04011,1998,.0022157701,.00073859008
04011,1999,.025006726,.021861991
04011,2000,.056012899,.094273821
04011,2001,.08769986,.13524845
04011,2002,.10723685,.17094386
05001,1997,0,0
05001,1998,0,0
05001,1999,0,0
05001,2000,0,0
05001,2001,0,0
05001,2002,0,0
05002,1997,.35766828,1.0420512
05002,1998,.36104584,1.072603
05002,1999,.37328246,1.1074837
05002,2000,.42431682,1.315233
05002,2001,.46394354,1.4187737
05002,2002,.48921129,1.5171038
05003,1997,.79224896,2.0655491
05003,1998,.79725361,2.0315981
05003,1999,.81559724,2.0575562
05003,2000,.83341545,2.0931768
05003,2001,.83295321,2.0370634
05003,2002,.85766196,2.0397258
05004,1997,.34056476,.99308276
05004,1998,.34601948,.97726089
05004,1999,.34106731,.96461147
05004,2000,.35808459,1.2537792
05004,2001,.38178259,1.384469
05004,2002,.39718202,1.963782
05005,1997,0,0
05005,1998,0,0
05005,1999,0,0
05005,2000,0,0
05005,2001,0,0
05005,2002,0,0
05006,1997,.32335824,1.0045369
05006,1998,.36191496,.99200457
05006,1999,.38709295,.98801005
05006,2000,.4523975,1.1252644
05006,2001,.5212667,1.2472198
05006,2002,.60047764,1.3805816
05007,1997,.70186597,1.8647202
05007,1998,.67928129,1.7476037
05007,1999,.68651932,1.8380355
05007,2000,.69071716,1.8709507
05007,2001,.69945061,1.9109766
05007,2002,.69288319,1.9433749
05008,1997,0,0
05008,1998,0,0
05008,1999,0,0
05008,2000,0,0
05008,2001,0,0
05008,2002,0,0
05009,1997,.30742007,.67198467
05009,1998,.30761611,.71928889
05009,1999,.30558205,.72140628
05009,2000,.31456834,.75320637
05009,2001,.32485762,.77120477
05009,2002,.34107125,.78062856
05010,1997,.51333183,1.3323727
05010,1998,.52446389,1.3550366
05010,1999,.56955528,1.4782525
05010,2000,.61010206,1.5609372
05010,2001,.66040474,1.6859601
05010,2002,.72436535,1.8558092
05011,1997,.4571923,.89117801
05011,1998,.45895207,.94488829
05011,1999,.45963478,.88740623
05011,2000,.46243498,.98635888
05011,2001,.46492136,1.1709797
05011,2002,.47044989,1.2829311
05012,1997,0,0
05012,1998,0,0
05012,1999,0,0
05012,2000,0,0
05012,2001,0,0
05012,2002,0,0
05013,1997,0,0
05013,1998,0,0
05013,1999,0,0
05013,2000,0,0
05013,2001,0,0
05013,2002,0,0
05014,1997,0,0
05014,1998,0,0
05014,1999,0,0
05014,2000,0,0
05014,2001,0,0
05014,2002,0,0
05015,1997,0,0
05015,1998,0,0
05015,1999,0,0
05015,2000,0,0
05015,2001,0,0
05015,2002,0,0
05016,1997,0,0
05016,1998,0,0
05016,1999,0,0
05016,2000,0,0
05016,2001,0,0
05016,2002,0,0
05017,1997,.21300969,.57312936
05017,1998,.20294449,.53401846
05017,1999,.20124073,.53018332
05017,2000,.2218902,.59481037
05017,2001,.23486426,.70044708
05017,2002,.24904467,.78871405
05018,1997,.77600718,2.0804503
05018,1998,.78379095,2.0973523
05018,1999,.799173,2.1482618
05018,2000,.81934285,2.1939154
05018,2001,.83754575,2.2548149
05018,2002,.85829628,2.3251512
05019,1997,.79064196,1.676934
05019,1998,.79810965,1.7483851
05019,1999,.83848774,1.8592013
05019,2000,.86540645,2.0493343
05019,2001,.89202243,2.2001476
05019,2002,.94095206,2.2215242
05020,1997,.64585787,1.6890776
05020,1998,.65101337,1.6533484
05020,1999,.61805552,1.5706327
05020,2000,.64917117,1.6672992
05020,2001,.68079054,1.7583048
05020,2002,.71141171,1.8611789
05021,1997,.41249236,1.1458428
05021,1998,.41068915,1.1408262
05021,1999,.41274586,1.1465347
05021,2000,.48000425,1.3635937
05021,2001,.48290756,1.3723036
05021,2002,.5540145,1.5519867
05022,1997,.35013548,.98871225
05022,1998,.35976943,.98677433
05022,1999,.38438967,1.0726944
05022,2000,.40058258,1.1254239
05022,2001,.39788541,1.1120508
05022,2002,.43915218,1.2216439
05023,1997,.15229228,.22708988
05023,1998,.15087661,.26196092
05023,1999,.1502164,.2870459
05023,2000,.14898986,.31063348
05023,2001,.1436464,.3154566
05023,2002,.13765441,.32297224
05024,1997,.37277415,.74008852
05024,1998,.36213472,.77115273
05024,1999,.37639874,.83712137
05024,2000,.38575143,.89378113
05024,2001,.39992768,.95801723
05024,2002,.40782189,1.0412357
05025,1997,.57420027,1.4933398
05025,1998,.58498669,1.4809887
05025,1999,.59089106,1.5050328
05025,2000,.60416049,1.5615118
05025,2001,.62151557,1.5913347
05025,2002,.63180965,1.6393619
05026,1997,0,0
05026,1998,0,0
05026,1999,0,0
05026,2000,0,0
05026,2001,0,0
05026,2002,0,0
05027,1997,.55382651,1.5096415
05027,1998,.54775989,1.4898494
05027,1999,.5365597,1.4949956
05027,2000,.56657684,1.5186802
05027,2001,.58234292,1.5809017
05027,2002,.60251588,1.6607727
05028,1997,.99041343,2.7884655
05028,1998,.99070984,2.8239057
05028,1999,.98491222,2.7514019
05028,2000,.97911292,2.7364044
05028,2001,.97935468,2.7444713
05028,2002,.97935921,2.793606
05029,1997,0,0
05029,1998,0,0
05029,1999,0,0
05029,2000,0,0
05029,2001,0,0
05029,2002,0,0
05030,1997,.69310898,2.2778976
05030,1998,.69343841,2.2808952
05030,1999,.70280308,2.3078184
05030,2000,.72228527,2.3494818
05030,2001,.74476212,2.4223168
05030,2002,.76531452,2.4597449
05031,1997,.27147746,.81443232
05031,1998,.26651943,.79955828
05031,1999,.28922611,.86767834
05031,2000,.31485826,.922068
05031,2001,.33141738,.97174537
05031,2002,.33716241,.98344171
05032,1997,.87660795,2.3686695
05032,1998,.86211014,2.2680733
05032,1999,.87163281,2.3428044
05032,2000,.87827092,2.4083316
05032,2001,.89443046,2.4835877
05032,2002,.90485537,2.5530157
05033,1997,.2097428,.4373458
05033,1998,.2160188,.46623495
05033,1999,.21594581,.44707763
05033,2000,.23086441,.49228752
05033,2001,.24667713,.50425649
05033,2002,.271364,.57129788
05034,1997,0,0
05034,1998,0,0
05034,1999,0,0
05034,2000,0,0
05034,2001,0,0
05034,2002,0,0
05035,1997,.60421562,1.6839616
05035,1998,.59831405,1.6681738
05035,1999,.60574293,1.6747364
05035,2000,.61930859,1.7332314
05035,2001,.63544321,1.7816577
05035,2002,.65022838,1.8316298
05036,1997,0,0
05036,1998,0,0
05036,1999,.013964497,.024825772
05036,2000,.022794891,.045793217
05036,2001,.033472285,.070198692
05036,2002,.044569757,.13202748
05037,1997,.84238195,2.041141
05037,1998,.86443353,2.1326203
05037,1999,.8782897,2.2276964
05037,2000,.88711286,2.2918837
05037,2001,.88509983,2.2486513
05037,2002,.88197088,2.2712657
05038,1997,.63797259,1.6124499
05038,1998,.63778102,1.6751903
05038,1999,.67518836,1.8350427
05038,2000,.69944644,1.9395708
05038,2001,.73103011,2.0664089
05038,2002,.76486957,2.2403178
06001,1997,0,0
06001,1998,0,0
06001,1999,.18648496,.076114424
06001,2000,.30810779,.17375419
06001,2001,.47477445,.35361129
06001,2002,.5426023,.50578618
06002,1997,.11756835,.40216294
06002,1998,.12356433,.44904029
06002,1999,.28163666,.59503597
06002,2000,.38106021,.76076943
06002,2001,.50353938,1.0302068
06002,2002,.58832127,1.3127097
06003,1997,.072487123,.095216542
06003,1998,.068589479,.097791716
06003,1999,.22198793,.18720163
06003,2000,.34972328,.51486802
06003,2001,.49421611,.7713688
06003,2002,.60444975,1.0158591
06004,1997,.038689438,.077378877
06004,1998,.040894907,.069911987
06004,1999,.18462028,.2104321
06004,2000,.29395211,.38257745
06004,2001,.42357031,.60883462
06004,2002,.51832116,.89259875
06005,1997,.035846017,.035846017
06005,1998,.034775715,.028199714
06005,1999,.22782058,.1175219
06005,2000,.35651714,.24966124
06005,2001,.50780541,.54024506
06005,2002,.6022982,.79854864
06006,1997,0,0
06006,1998,0,0
06006,1999,.17802547,.3334395
06006,2000,.27590013,.563236
06006,2001,.40496859,.88632804
06006,2002,.51882434,1.2175319
06007,1997,.071429595,.2873297
06007,1998,.075030044,.30371207
06007,1999,.20621406,.37078404
06007,2000,.30983329,.42580658
06007,2001,.45050669,.51935613
06007,2002,.49062738,.61311597
06008,1997,0,0
06008,1998,0,0
06008,1999,.19199219,.12122897
06008,2000,.31962022,.27969271
06008,2001,.47015265,.63545263
06008,2002,.58893019,.91724741
06009,1997,.026532646,.065428227
06009,1998,.026538661,.071904324
06009,1999,.17900145,.11385308
06009,2000,.27696422,.16660431
06009,2001,.41982916,.27924263
06009,2002,.46406722,.38609818
06010,1997,.051710494,.054425012
06010,1998,.052562624,.064064972
06010,1999,.2168425,.12225135
06010,2000,.31622779,.21650593
06010,2001,.44621086,.36350408
06010,2002,.496288,.48897821
07001,1997,0,0
07001,1998,0,0
07001,1999,0,0
07001,2000,0,0
07001,2001,0,0
07001,2002,0,0
